ID,Problem Name,Likes,Dislikes,"Like
Ratio",Topics,Difficulty,Accepted,Submissions,"Accept
Rate"
215,Kth Largest Element in an Array,18218,954,95.00%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",Medium,3220016,4708444,68.40%
236,Lowest Common Ancestor of a Binary Tree,18061,481,97.40%,"Tree, Depth-First Search, Binary Tree",Medium,2312440,3418556,67.60%
136,Single Number,18044,848,95.50%,"Array, Bit Manipulation",Easy,4001572,5226239,76.60%
35,Search Insert Position,17969,853,95.50%,"Array, Binary Search",Easy,4124456,8303238,49.70%
124,Binary Tree Maximum Path Sum,17936,773,95.90%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",Hard,1698109,4087941,41.50%
98,Validate Binary Search Tree,17901,1428,92.60%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Medium,3021283,8691177,34.80%
41,First Missing Positive,17856,1947,90.20%,"Array, Hash Table",Hard,1558148,3750088,41.50%
62,Unique Paths,17842,476,97.40%,"Math, Dynamic Programming, Combinatorics",Medium,2511231,3800205,66.10%
234,Palindrome Linked List,17751,951,94.90%,"Linked List, Two Pointers, Stack, Recursion",Easy,2591476,4581719,56.60%
88,Merge Sorted Array,17732,2481,87.70%,"Array, Two Pointers, Sorting",Easy,4969120,9281565,53.50%
26,Remove Duplicates from Sorted Array,17586,20105,46.70%,"Array, Two Pointers",Easy,6765917,11067549,61.10%
207,Course Schedule,17436,833,95.40%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Medium,2255936,4519116,49.90%
74,Search a 2D Matrix,17264,467,97.40%,"Array, Binary Search, Matrix",Medium,2549280,4825023,52.80%
79,Word Search,17139,729,95.90%,"Array, String, Backtracking, Depth-First Search, Matrix",Medium,2228933,4856262,45.90%
141,Linked List Cycle,16908,1533,91.70%,"Hash Table, Linked List, Two Pointers",Easy,4276905,8048215,53.10%
54,Spiral Matrix,16618,1490,91.80%,"Array, Matrix, Simulation",Medium,2087644,3802447,54.90%
13,Roman to Integer,16565,1154,93.50%,"Hash Table, Math, String",Easy,5182540,7919107,65.40%
102,Binary Tree Level Order Traversal,16513,359,97.90%,"Tree, Breadth-First Search, Binary Tree",Medium,3027139,4246360,71.30%
73,Set Matrix Zeroes,16431,825,95.20%,"Array, Hash Table, Matrix",Medium,2259667,3676728,61.50%
101,Symmetric Tree,16397,430,97.40%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,2599378,4340887,59.90%
105,Construct Binary Tree from Preorder and Inorder Traversal,16186,592,96.50%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",Medium,1675368,2482423,67.50%
160,Intersection of Two Linked Lists,16088,1463,91.70%,"Hash Table, Linked List, Two Pointers",Easy,2124298,3424991,62.00%
72,Edit Distance,15977,296,98.20%,"String, Dynamic Programming",Medium,1262168,2125773,59.40%
45,Jump Game II,15935,681,95.90%,"Array, Dynamic Programming, Greedy",Medium,1869214,4462969,41.90%
155,Min Stack,15443,967,94.10%,"Stack, Design",Medium,2374200,4168327,57.00%
543,Diameter of Binary Tree,15082,1195,92.70%,"Tree, Depth-First Search, Binary Tree",Easy,2202511,3427325,64.30%
138,Copy List with Random Pointer,15075,1626,90.30%,"Hash Table, Linked List",Medium,1719322,2802959,61.30%
25,Reverse Nodes in k-Group,15045,779,95.10%,"Linked List, Recursion",Hard,1332328,2081186,64.00%
122,Best Time to Buy and Sell Stock II,14855,2784,84.20%,"Array, Dynamic Programming, Greedy",Medium,2706915,3866173,70.00%
226,Invert Binary Tree,14836,248,98.40%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,2750549,3465996,79.40%
9,Palindrome Number,14693,2854,83.70%,Math,Easy,6954173,11663086,59.60%
7,Reverse Integer,14674,13865,51.40%,Math,Medium,4376135,14231446,30.70%
142,Linked List Cycle II,14669,1051,93.30%,"Hash Table, Linked List, Two Pointers",Medium,1775141,3171363,56.00%
1143,Longest Common Subsequence,14627,235,98.40%,"String, Dynamic Programming",Medium,1609960,2752154,58.50%
153,Find Minimum in Rotated Sorted Array,14618,638,95.80%,"Array, Binary Search",Medium,2634142,4957044,53.10%
118,Pascal's Triangle,14456,541,96.40%,"Array, Dynamic Programming",Easy,2398942,3071251,78.10%
94,Binary Tree Inorder Traversal,14446,866,94.30%,"Stack, Tree, Depth-First Search, Binary Tree",Easy,3325637,4204369,79.10%
994,Rotting Oranges,14425,458,96.90%,"Array, Breadth-First Search, Matrix",Medium,1381733,2410511,57.30%
739,Daily Temperatures,14143,358,97.50%,"Array, Stack, Monotonic Stack",Medium,1429142,2111470,67.70%
131,Palindrome Partitioning,13869,558,96.10%,"String, Dynamic Programming, Backtracking",Medium,1203182,1651030,72.90%
104,Maximum Depth of Binary Tree,13861,273,98.10%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,4259136,5497331,77.50%
162,Find Peak Element,13859,4895,73.90%,"Array, Binary Search",Medium,2107085,4522905,46.60%
209,Minimum Size Subarray Sum,13752,514,96.40%,"Array, Binary Search, Sliding Window, Prefix Sum",Medium,1589503,3178250,50.00%
51,N-Queens,13733,330,97.70%,"Array, Backtracking",Hard,1085130,1469706,73.80%
268,Missing Number,13590,3432,79.80%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",Easy,3363255,4753486,70.80%
394,Decode String,13578,678,95.20%,"String, Stack, Recursion",Medium,1070432,1738952,61.60%
242,Valid Anagram,13510,453,96.80%,"Hash Table, String, Sorting",Easy,5238193,7802148,67.10%
416,Partition Equal Subset Sum,13478,290,97.90%,"Array, Dynamic Programming",Medium,1330306,2725004,48.80%
64,Minimum Path Sum,13318,188,98.60%,"Array, Dynamic Programming, Matrix",Medium,1636296,2439597,67.10%
114,Flatten Binary Tree to Linked List,13276,589,95.80%,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",Medium,1264127,1824374,69.30%
217,Contains Duplicate,13248,1340,90.80%,"Array, Hash Table, Sorting",Easy,5560304,8749686,63.50%
127,Word Ladder,13059,1945,87.00%,"Hash Table, String, Breadth-First Search",Hard,1447624,3312042,43.70%
134,Gas Station,13041,1328,90.80%,"Array, Greedy",Medium,1183822,2527507,46.80%
199,Binary Tree Right Side View,13013,1064,92.40%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,1968716,2889811,68.10%
32,Longest Valid Parentheses,13004,453,96.60%,"String, Dynamic Programming, Stack",Hard,965479,2614559,36.90%
10,Regular Expression Matching,12941,2333,84.70%,"String, Dynamic Programming, Recursion",Hard,1227988,4145118,29.60%
704,Binary Search,12917,283,97.90%,"Array, Binary Search",Easy,3415883,5696273,60.00%
438,Find All Anagrams in a String,12902,363,97.30%,"Hash Table, String, Sliding Window",Medium,1074822,2043541,52.60%
167,Two Sum II - Input Array Is Sorted,12861,1493,89.60%,"Array, Two Pointers, Binary Search",Medium,2919780,4572449,63.90%
295,Find Median from Data Stream,12814,273,97.90%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",Hard,1080945,2013724,53.70%
875,Koko Eating Bananas,12771,844,93.80%,"Array, Binary Search",Medium,1273654,2593705,49.10%
876,Middle of the Linked List,12769,422,96.80%,"Linked List, Two Pointers",Easy,2671517,3296212,81.00%
240,Search a 2D Matrix II,12752,223,98.30%,"Array, Binary Search, Divide and Conquer, Matrix",Medium,1231323,2200637,56.00%
24,Swap Nodes in Pairs,12742,495,96.30%,"Linked List, Recursion",Medium,1721960,2536578,67.90%
148,Sort List,12590,401,96.90%,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",Medium,1124377,1792169,62.70%
91,Decode Ways,12580,4596,73.20%,"String, Dynamic Programming",Medium,1523884,4123051,37.00%
567,Permutation in String,12571,503,96.20%,"Hash Table, Two Pointers, String, Sliding Window",Medium,1306516,2736920,47.70%
92,Reverse Linked List II,12537,745,94.40%,Linked List,Medium,1164560,2323097,50.10%
540,Single Element in a Sorted Array,12475,230,98.20%,"Array, Binary Search",Medium,1034731,1748939,59.20%
100,Same Tree,12465,277,97.80%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,3014717,4583853,65.80%
18,4Sum,12394,1489,89.30%,"Array, Two Pointers, Sorting",Medium,1421068,3653423,38.90%
230,Kth Smallest Element in a BST,12335,250,98.00%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Medium,2005910,2644398,75.90%
424,Longest Repeating Character Replacement,12239,689,94.70%,"Hash Table, String, Sliding Window",Medium,1260162,2172593,58.00%
208,Implement Trie (Prefix Tree),12210,155,98.70%,"Hash Table, String, Design, Trie",Medium,1396749,2039632,68.50%
746,Min Cost Climbing Stairs,12097,1863,86.70%,"Array, Dynamic Programming",Easy,1577069,2334766,67.50%
36,Valid Sudoku,12063,1237,90.70%,"Array, Hash Table, Matrix",Medium,2222884,3503409,63.40%
143,Reorder List,12063,477,96.20%,"Linked List, Two Pointers, Stack, Recursion",Medium,1333922,2105021,63.40%
494,Target Sum,12059,406,96.70%,"Array, Dynamic Programming, Backtracking",Medium,963566,1880275,51.20%
235,Lowest Common Ancestor of a Binary Search Tree,11945,346,97.20%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Medium,2031692,2939805,69.10%
40,Combination Sum II,11847,365,97.00%,"Array, Backtracking",Medium,1498158,2576022,58.20%
863,All Nodes Distance K in Binary Tree,11811,269,97.80%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,626368,935988,66.90%
103,Binary Tree Zigzag Level Order Traversal,11696,338,97.20%,"Tree, Breadth-First Search, Binary Tree",Medium,1590952,2550817,62.40%
338,Counting Bits,11690,592,95.20%,"Dynamic Programming, Bit Manipulation",Easy,1460028,1824372,80.00%
437,Path Sum III,11669,561,95.40%,"Tree, Depth-First Search, Binary Tree",Medium,729702,1581273,46.10%
279,Perfect Squares,11652,485,96.00%,"Math, Dynamic Programming, Breadth-First Search",Medium,993712,1776660,55.90%
108,Convert Sorted Array to Binary Search Tree,11632,621,94.90%,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",Easy,1561777,2095010,74.50%
110,Balanced Binary Tree,11613,802,93.50%,"Tree, Depth-First Search, Binary Tree",Easy,2095805,3736263,56.10%
210,Course Schedule II,11606,373,96.90%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Medium,1490730,2756202,54.10%
202,Happy Number,11425,1590,87.80%,"Hash Table, Math, Two Pointers",Easy,2000438,3418293,58.50%
621,Task Scheduler,11411,2179,84.00%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",Medium,856730,1381239,62.00%
85,Maximal Rectangle,11405,210,98.20%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",Hard,641143,1170921,54.80%
57,Insert Interval,11357,896,92.70%,Array,Medium,1556593,3538715,44.00%
647,Palindromic Substrings,11269,252,97.80%,"Two Pointers, String, Dynamic Programming",Medium,1064526,1477355,72.10%
16,3Sum Closest,11206,609,94.80%,"Array, Two Pointers, Sorting",Medium,1590817,3367125,47.20%
50,"Pow(x, n)",11100,10341,51.80%,"Math, Recursion",Medium,2397696,6387147,37.50%
763,Partition Labels,11072,435,96.20%,"Hash Table, Two Pointers, String, Greedy",Medium,744573,911963,81.60%
328,Odd Even Linked List,11059,572,95.10%,Linked List,Medium,1323206,2130861,62.10%
442,Find All Duplicates in an Array,10917,430,96.20%,"Array, Hash Table",Medium,953250,1244952,76.60%
410,Split Array Largest Sum,10853,258,97.70%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",Hard,533460,905506,58.90%
297,Serialize and Deserialize Binary Tree,10849,422,96.30%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",Hard,1094256,1836867,59.60%
787,Cheapest Flights Within K Stops,10837,458,95.90%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",Medium,799225,1957967,40.80%
96,Unique Binary Search Trees,10819,435,96.10%,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",Medium,794146,1265672,62.70%
125,Valid Palindrome,10815,8586,55.70%,"Two Pointers, String",Easy,4636632,8965500,51.70%
61,Rotate List,10798,1522,87.60%,"Linked List, Two Pointers",Medium,1400654,3462818,40.40%
221,Maximal Square,10784,251,97.70%,"Array, Dynamic Programming, Matrix",Medium,857206,1738778,49.30%
66,Plus One,10759,5534,66.00%,"Array, Math",Easy,3141833,6547406,48.00%
547,Number of Provinces,10729,402,96.40%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Medium,1331434,1920711,69.30%
37,Sudoku Solver,10720,325,97.10%,"Array, Hash Table, Backtracking, Matrix",Hard,910577,1395550,65.20%
213,House Robber II,10716,179,98.40%,"Array, Dynamic Programming",Medium,1092019,2480283,44.00%
229,Majority Element II,10651,474,95.70%,"Array, Hash Table, Sorting, Counting",Medium,1085569,1970833,55.10%
90,Subsets II,10585,388,96.50%,"Array, Backtracking, Bit Manipulation",Medium,1312026,2182907,60.10%
1011,Capacity To Ship Packages Within D Days,10563,270,97.50%,"Array, Binary Search",Medium,638613,876874,72.80%
392,Is Subsequence,10486,593,94.60%,"Two Pointers, String, Dynamic Programming",Easy,2212779,4554423,48.60%
695,Max Area of Island,10434,215,98.00%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Medium,1120940,1526688,73.40%
542,01 Matrix,10406,441,95.90%,"Array, Dynamic Programming, Breadth-First Search, Matrix",Medium,801049,1530192,52.30%
112,Path Sum,10393,1192,89.70%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,1925152,3593731,53.60%
378,Kth Smallest Element in a Sorted Matrix,10372,383,96.40%,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",Medium,746089,1168125,63.90%
123,Best Time to Buy and Sell Stock III,10342,217,97.90%,"Array, Dynamic Programming",Hard,850915,1633934,52.10%
133,Clone Graph,10278,4109,71.40%,"Hash Table, Depth-First Search, Breadth-First Search, Graph",Medium,1698584,2681162,63.40%
402,Remove K Digits,10252,538,95.00%,"String, Stack, Greedy, Monotonic Stack",Medium,648903,1821743,35.60%
116,Populating Next Right Pointers in Each Node,10242,320,97.00%,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,1251094,1894942,66.00%
120,Triangle,10233,588,94.60%,"Array, Dynamic Programming",Medium,1066137,1797113,59.30%
67,Add Binary,10155,1070,90.50%,"Math, String, Bit Manipulation, Simulation",Easy,1981166,3532116,56.10%
516,Longest Palindromic Subsequence,10143,338,96.80%,"String, Dynamic Programming",Medium,677918,1049576,64.60%
205,Isomorphic Strings,10048,2235,81.80%,"Hash Table, String",Easy,1919034,4051344,47.40%
450,Delete Node in a BST,10038,365,96.50%,"Tree, Binary Search Tree, Binary Tree",Medium,758987,1417339,53.60%
518,Coin Change II,9972,223,97.80%,"Array, Dynamic Programming",Medium,879465,1434999,61.30%
212,Word Search II,9970,501,95.20%,"Array, String, Backtracking, Trie, Matrix",Hard,828797,2203616,37.60%
448,Find All Numbers Disappeared in an Array,9953,529,95.00%,"Array, Hash Table",Easy,1161475,1850084,62.80%
399,Evaluate Division,9943,1060,90.40%,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",Medium,637158,1003506,63.50%
1004,Max Consecutive Ones III,9882,172,98.30%,"Array, Binary Search, Sliding Window, Prefix Sum",Medium,1144543,1717566,66.60%
309,Best Time to Buy and Sell Stock with Cooldown,9866,345,96.60%,"Array, Dynamic Programming",Medium,690174,1130743,61.00%
151,Reverse Words in a String,9850,5452,64.40%,"Two Pointers, String",Medium,2588941,4835881,53.50%
977,Squares of a Sorted Array,9838,261,97.40%,"Array, Two Pointers, Sorting",Easy,2344978,3197782,73.30%
380,Insert Delete GetRandom O(1),9753,681,93.50%,"Array, Hash Table, Math, Design, Randomized",Medium,1239501,2249798,55.10%
312,Burst Balloons,9537,274,97.20%,"Array, Dynamic Programming",Hard,391588,630655,62.10%
130,Surrounded Regions,9526,2145,81.60%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Medium,1040592,2382235,43.70%
83,Remove Duplicates from Sorted List,9490,347,96.50%,Linked List,Easy,2081130,3755827,55.40%
387,First Unique Character in a String,9459,320,96.70%,"Hash Table, String, Queue, Counting",Easy,2123746,3309286,64.20%
662,Maximum Width of Binary Tree,9453,1294,88.00%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,528855,1184739,44.60%
63,Unique Paths II,9417,550,94.50%,"Array, Dynamic Programming, Matrix",Medium,1309295,3005613,43.60%
82,Remove Duplicates from Sorted List II,9411,270,97.20%,"Linked List, Two Pointers",Medium,982712,1946768,50.50%
329,Longest Increasing Path in a Matrix,9336,145,98.50%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix",Hard,659423,1183177,55.70%
496,Next Greater Element I,9277,1011,90.20%,"Array, Hash Table, Stack, Monotonic Stack",Easy,1174961,1564950,75.10%
81,Search in Rotated Sorted Array II,9272,1097,89.40%,"Array, Binary Search",Medium,1067668,2724898,39.20%
222,Count Complete Tree Nodes,9258,595,94.00%,"Binary Search, Bit Manipulation, Tree, Binary Tree",Easy,1038952,1465033,70.90%
179,Largest Number,9219,786,92.10%,"Array, String, Greedy, Sorting",Medium,752543,1802929,41.70%
344,Reverse String,9206,1204,88.40%,"Two Pointers, String",Easy,3400253,4246376,80.10%
69,Sqrt(x),9186,4607,66.60%,"Math, Binary Search",Easy,2776194,6814943,40.70%
733,Flood Fill,9149,940,90.70%,"Array, Depth-First Search, Breadth-First Search, Matrix",Easy,1245029,1855234,67.10%
315,Count of Smaller Numbers After Self,9114,249,97.30%,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",Hard,365936,851052,43.00%
316,Remove Duplicate Letters,9066,686,93.00%,"String, Stack, Greedy, Monotonic Stack",Medium,401964,775084,51.90%
173,Binary Search Tree Iterator,9056,562,94.20%,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",Medium,1011165,1339861,75.50%
767,Reorganize String,9033,280,97.00%,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",Medium,547597,969758,56.50%
135,Candy,9012,824,91.60%,"Array, Greedy",Hard,914363,1935539,47.20%
617,Merge Two Binary Trees,8995,314,96.60%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Easy,860649,1091978,78.80%
785,Is Graph Bipartite?,8978,404,95.70%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Medium,781356,1340511,58.30%
724,Find Pivot Index,8966,907,90.80%,"Array, Prefix Sum",Easy,1480841,2421902,61.10%
47,Permutations II,8950,158,98.30%,"Array, Backtracking, Sorting",Medium,1166977,1877471,62.20%
509,Fibonacci Number,8950,392,95.80%,"Math, Dynamic Programming, Recursion, Memoization",Easy,2640152,3598390,73.40%
735,Asteroid Collision,8944,1277,87.50%,"Array, Stack, Simulation",Medium,871605,1894117,46.00%
337,House Robber III,8930,154,98.30%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",Medium,461833,837020,55.20%
451,Sort Characters By Frequency,8917,325,96.50%,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting",Medium,987896,1323862,74.60%
907,Sum of Subarray Minimums,8885,709,92.60%,"Array, Dynamic Programming, Stack, Monotonic Stack",Medium,385996,1017932,37.90%
973,K Closest Points to Origin,8879,332,96.40%,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",Medium,1583109,2318684,68.30%
44,Wildcard Matching,8871,396,95.70%,"String, Dynamic Programming, Greedy, Recursion",Hard,771800,2529992,30.50%
435,Non-overlapping Intervals,8835,246,97.30%,"Array, Dynamic Programming, Greedy, Sorting",Medium,865586,1545004,56.00%
658,Find K Closest Elements,8822,850,91.20%,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",Medium,740929,1512047,49.00%
203,Remove Linked List Elements,8817,279,96.90%,"Linked List, Recursion",Easy,1444453,2741020,52.70%
278,First Bad Version,8806,3405,72.10%,"Binary Search, Interactive",Easy,2010564,4346450,46.30%
6,Zigzag Conversion,8791,15597,36.00%,String,Medium,1900596,3633078,52.30%
503,Next Greater Element II,8783,223,97.50%,"Array, Stack, Monotonic Stack",Medium,658460,980848,67.10%
310,Minimum Height Trees,8740,410,95.50%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Medium,449854,1067212,42.20%
680,Valid Palindrome II,8728,499,94.60%,"Two Pointers, String, Greedy",Easy,1026679,2365155,43.40%
77,Combinations,8717,243,97.30%,Backtracking,Medium,1193329,1624896,73.40%
572,Subtree of Another Tree,8686,580,93.70%,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",Easy,1132951,2243312,50.50%
983,Minimum Cost For Tickets,8679,185,97.90%,"Array, Dynamic Programming",Medium,447045,663273,67.40%
334,Increasing Triplet Subsequence,8663,674,92.80%,"Array, Greedy",Medium,843564,2154533,39.20%
97,Interleaving String,8652,543,94.10%,"String, Dynamic Programming",Medium,697708,1635028,42.70%
144,Binary Tree Preorder Traversal,8593,227,97.40%,"Stack, Tree, Depth-First Search, Binary Tree",Easy,2179266,2940794,74.10%
204,Count Primes,8561,1541,84.70%,"Array, Math, Enumeration, Number Theory",Medium,1129941,3211094,35.20%
106,Construct Binary Tree from Inorder and Postorder Traversal,8518,149,98.30%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",Medium,857629,1281127,66.90%
129,Sum Root to Leaf Numbers,8497,152,98.20%,"Tree, Depth-First Search, Binary Tree",Medium,1167652,1693280,69.00%
525,Contiguous Array,8492,436,95.10%,"Array, Hash Table, Prefix Sum",Medium,594185,1192195,49.80%
137,Single Number II,8447,734,92.00%,"Array, Bit Manipulation",Medium,790191,1199689,65.90%
1480,Running Sum of 1d Array,8429,362,95.90%,"Array, Prefix Sum",Easy,2172485,2499846,86.90%
113,Path Sum II,8427,167,98.10%,"Backtracking, Tree, Depth-First Search, Binary Tree",Medium,1069126,1752412,61.00%
99,Recover Binary Search Tree,8392,279,96.80%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Medium,586490,1021950,57.40%
